_source_file,action,calendar_size,calendar_size_after,calendar_size_sent,duplicates_ignored,event,final_sync,lamport,lamport_after,lamport_before,left_neighbor,message_id,message_lamport,message_vector,new_events_added,node_id,port,received_event_count,received_lamport,received_vector,receiver_node,right_neighbor,scheduled_delay_seconds,sender_node,state_hash,state_hash_after,state_hash_sent,vector,vector_after,vector_before,wall_time_utc
node-2.jsonl,RECEIVE_STATE,,14,,5,,False,,24,15,,N01-M0006,,,6,2,,11,23,"[10, 12, 3, 0, 0, 0, 3, 4, 5, 8]",,,,1,,8f5341742fc574aff08d04f1cae810c02583b4dbd2d2cd63023885e66b6f3412,,,"[10, 12, 8, 7, 2, 0, 3, 4, 5, 8]","[5, 8, 7, 7, 2, 0, 0, 0, 0, 3]",2026-09-13T14:09:26.619Z
node-5.jsonl,LOCAL_SCHEDULE,,12,,,"{""creator_node"": 5, ""end_time"": ""14:00"", ""event_id"": ""N05-E03"", ""event_number"": 3, ""lamport_timestamp"": 21, ""simulation_date"": ""2030-10-01"", ""start_time"": ""13:40"", ""title"": ""Node 5 Event 3"", ""vector_timestamp"": [0, 3, 4, 8, 10, 11, 7, 3, 0, 0]}",,,21,,,,,,,5,,,,,,,35,,,b54a031f96818f7b5cfb7428f95e942803d17ef84e2dc1ccb0095ba425feb400,,,"[0, 3, 4, 8, 10, 11, 7, 3, 0, 0]",,2026-09-13T14:09:27.221Z
node-5.jsonl,SEND_STATE,,,12,,,,,,,,N05-M0005,22,"[0, 3, 4, 8, 10, 12, 7, 3, 0, 0]",,5,,,,,4,,,,,,b54a031f96818f7b5cfb7428f95e942803d17ef84e2dc1ccb0095ba425feb400,,,,2026-09-13T14:09:27.222Z
node-4.jsonl,RECEIVE_STATE,,12,,11,,False,,23,19,,N05-M0005,,,1,4,,12,22,"[0, 3, 4, 8, 10, 12, 7, 3, 0, 0]",,,,5,,b54a031f96818f7b5cfb7428f95e942803d17ef84e2dc1ccb0095ba425feb400,,,"[0, 3, 4, 8, 11, 12, 7, 3, 0, 0]","[0, 3, 4, 8, 10, 8, 7, 3, 0, 0]",2026-09-13T14:09:27.224Z
node-5.jsonl,SEND_STATE,,,12,,,,,,,,N05-M0006,23,"[0, 3, 4, 8, 10, 13, 7, 3, 0, 0]",,5,,,,,6,,,,,,b54a031f96818f7b5cfb7428f95e942803d17ef84e2dc1ccb0095ba425feb400,,,,2026-09-13T14:09:27.225Z
node-6.jsonl,RECEIVE_STATE,,15,,6,,False,,24,17,,N05-M0006,,,6,6,,12,23,"[0, 3, 4, 8, 10, 13, 7, 3, 0, 0]",,,,5,,2785c32c25667d89d4909409addc00b836d1c3020d74ea59776d11c17ed76a11,,,"[0, 3, 4, 8, 10, 13, 11, 8, 4, 2]","[0, 0, 0, 0, 3, 9, 10, 8, 4, 2]",2026-09-13T14:09:27.226Z
node-2.jsonl,LOCAL_SCHEDULE,,15,,,"{""creator_node"": 2, ""end_time"": ""22:20"", ""event_id"": ""N02-E02"", ""event_number"": 2, ""lamport_timestamp"": 25, ""simulation_date"": ""2030-10-01"", ""start_time"": ""22:00"", ""title"": ""Node 2 Event 2"", ""vector_timestamp"": [10, 12, 9, 7, 2, 0, 3, 4, 5, 8]}",,,25,,,,,,,2,,,,,,,84,,,582b886093ef86b420239eaf36a802c165a31b87c7c54a07ece9ca25be7fef07,,,"[10, 12, 9, 7, 2, 0, 3, 4, 5, 8]",,2026-09-13T14:09:39.374Z
node-2.jsonl,SEND_STATE,,,15,,,,,,,,N02-M0003,26,"[10, 12, 10, 7, 2, 0, 3, 4, 5, 8]",,2,,,,,1,,,,,,582b886093ef86b420239eaf36a802c165a31b87c7c54a07ece9ca25be7fef07,,,,2026-09-13T14:09:39.375Z
node-1.jsonl,RECEIVE_STATE,,15,,11,,False,,27,23,,N02-M0003,,,4,1,,15,26,"[10, 12, 10, 7, 2, 0, 3, 4, 5, 8]",,,,2,,582b886093ef86b420239eaf36a802c165a31b87c7c54a07ece9ca25be7fef07,,,"[10, 13, 10, 7, 2, 0, 3, 4, 5, 8]","[10, 12, 3, 0, 0, 0, 3, 4, 5, 8]",2026-09-13T14:09:39.377Z
node-2.jsonl,SEND_STATE,,,15,,,,,,,,N02-M0004,27,"[10, 12, 11, 7, 2, 0, 3, 4, 5, 8]",,2,,,,,3,,,,,,582b886093ef86b420239eaf36a802c165a31b87c7c54a07ece9ca25be7fef07,,,,2026-09-13T14:09:39.378Z
